"","GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
"361",154.110001,156.699997,141.570007,150,3827800,150
"362",149.089996,150.710007,142.029999,146.190002,2581200,146.190002
"363",143.039993,148.220001,140.610001,146.929993,2453000,146.929993
"364",146.5,152.25,141.669998,144.869995,1999100,144.869995
"365",144.100006,152.130005,142.020004,150.699997,2008200,150.699997
"366",149.270004,156.5,147.220001,150.770004,2498300,150.770004
"367",150,151.240005,137.240005,141.460007,2467800,141.460007
"368",142.850006,152.979996,139.860001,152.470001,2354200,152.470001
"369",152,152.330002,146.649994,148.850006,1162000,148.850006
"370",150,153.119995,139.910004,141.559998,1684400,141.559998
"371",142.550003,146.300003,135.550003,138.220001,1566600,138.220001
